Graph Index,Direction,epsilon,Case,Algorithm,lambda_0,lambda_1,lambda_2,lambda_3,Queue 0 Param,Queue 1 Param,Queue 2 Param,Queue 3 Param,Avg Lq_0,Avg Lq_1,Avg Lq_2,Avg Lq_3,Avg sum(Lq),Avg Cost-Weighted sum(Lq)
0,,0.005,good,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,6.2673321183257045,13.115410595082375,19.97967406667982,31.17913111777242,70.54154789786031,119.41226525844675
0,,0.005,good,weighted_maxweight,0.995,0.995,0.995,0.995,1.0,1.3333333333333333,1.6666666666666665,2.0,19.00655516306408,38.65241619478393,53.687438652428725,905.3286765357425,1016.6750865460192,1970.679527581642
0,,0.005,good,cmu,0.995,0.995,0.995,0.995,,,,,24.59737735800846,28.126890899822218,22.665188770706767,978.041458654259,1053.4309156827965,2055.958130484134
0,,0.005,good,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,24.59737735800846,28.126890899822218,22.665188770706767,983.8761852232186,1059.2656422517562,2067.6275836220534
0,,0.005,good,random,0.995,0.995,0.995,0.995,0,0,0,0,1.0241935012679677,2.30767409864104,3.2538995229415746,3605.137226716598,3611.7229938394485,7219.798711604221
0,,0.005,good,random_idle,0.995,0.995,0.995,0.995,0,0,0,0,1.1032228210294732,41.94630325693342,426.06909441608275,8893.763743860813,9362.882364354859,18554.67427224537
1,,0.005,bad,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,6.2673321183257045,13.115410595082375,19.97967406667982,31.17913111777242,70.54154789786031,92.21237843513421
1,,0.005,bad,weighted_maxweight,0.995,0.995,0.995,0.995,2.0,1.6666666666666665,1.3333333333333333,1.0,17.19869685904267,46.56667548300286,88.39598535228153,859.7333835981459,1011.894741292473,1089.603216924278
1,,0.005,bad,cmu,0.995,0.995,0.995,0.995,,,,,1.0241935012679677,2.30767409864104,3.2538995229415746,3598.9914955826744,3605.577262705525,3609.224538780201
1,,0.005,bad,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,48.23715094235515,60.634661680282335,102.21054041655657,4239.3555912374695,4450.437944276664,4573.168383144726
1,,0.005,bad,random,0.995,0.995,0.995,0.995,0,0,0,0,1.0241935012679677,2.30767409864104,3.2538995229415746,7030.579440734669,7037.16520785752,7040.812483932195
1,,0.005,bad,random_idle,0.995,0.995,0.995,0.995,0,0,0,0,1.1032228210294732,41.94630325693342,427.06909441608684,8893.763743860813,9363.882364354862,9535.306154152542
